	R	jQuery()										
contextmenu() event	R	.contextmenu()										
css	R	.css()										
css hooks	R	jQuery.cssHooks										
css number	R	jQuery.cssNumber										
css()	R	.css()										
cssHooks	R	jQuery.cssHooks										
cssNumber	R	jQuery.cssNumber										
csshooks	R	jQuery.cssHooks										
cssnumber	R	jQuery.cssNumber										
current target	R	event.currentTarget										
currentTarget	R	event.currentTarget										
currenttarget	R	event.currentTarget										
data	R	.data()										
data()	R	.data()										
dblclick	R	.dblclick()										
dblclick event	R	.dblclick()										
dblclick()	R	.dblclick()										
dblclick() event	R	.dblclick()										
deferred	R	jQuery.Deferred()										
deferred always	R	deferred.always()										
deferred catch	R	deferred.catch()										
deferred done	R	deferred.done()										
deferred fail	R	deferred.fail()										
deferred is rejected	R	deferred.isRejected()										
deferred is resolved	R	deferred.isResolved()										
deferred isrejected	R	deferred.isRejected()										
deferred isresolved	R	deferred.isResolved()										
deferred notify	R	deferred.notify()										
deferred notify with	R	deferred.notifyWith()										
deferred notifywith	R	deferred.notifyWith()										
deferred pipe	R	deferred.pipe()										
deferred progress	R	deferred.progress()										
deferred promise	R	deferred.promise()										
deferred reject	R	deferred.reject()										
deferred reject with	R	deferred.rejectWith()										
deferred rejectwith	R	deferred.rejectWith()										
deferred resolve	R	deferred.resolve()										
deferred resolve with	R	deferred.resolveWith()										
deferred resolvewith	R	deferred.resolveWith()										
deferred state	R	deferred.state()										
deferred then	R	deferred.then()										
deferred.always	R	deferred.always()										
deferred.always()	A			jQuery Deferred Object							<section class="prog__container"><p> Add handlers to be called when the Deferred object is either resolved or rejected. </p><pre><code>deferred.always(alwaysCallbacks,alwaysCallbacks) → Deferred</code></pre><p>Arguments</p><pre><code>alwaysCallbacks (Function) : A function, or array of functions, that is called when the Deferred is resolved or rejected.\nalwaysCallbacks (Function) : Optional additional functions, or arrays of functions, that are called when the Deferred is resolved or rejected.</code></pre></section>	https://api.jquery.com/deferred.always/
deferred.catch	R	deferred.catch()										
deferred.catch()	A			jQuery Deferred Object							<section class="prog__container"><p>Add handlers to be called when the Deferred object is rejected. </p><pre><code>deferred.catch(failFilter) → Promise</code></pre><p>Arguments</p><pre><code>failFilter (Function) : A function that is called when the Deferred is rejected.</code></pre></section>	https://api.jquery.com/deferred.catch/
deferred.done	R	deferred.done()										
deferred.done()	A			jQuery Deferred Object							<section class="prog__container"><p> Add handlers to be called when the Deferred object is resolved. </p><pre><code>deferred.done(doneCallbacks,doneCallbacks) → Deferred</code></pre><p>Arguments</p><pre><code>doneCallbacks (Function) : A function, or array of functions, that are called when the Deferred is resolved.\ndoneCallbacks (Function) : Optional additional functions, or arrays of functions, that are called when the Deferred is resolved.</code></pre></section>	https://api.jquery.com/deferred.done/
deferred.fail	R	deferred.fail()										
deferred.fail()	A			jQuery Deferred Object							<section class="prog__container"><p> Add handlers to be called when the Deferred object is rejected. </p><pre><code>deferred.fail(failCallbacks,failCallbacks) → Deferred</code></pre><p>Arguments</p><pre><code>failCallbacks (Function) : A function, or array of functions, that are called when the Deferred is rejected.\nfailCallbacks (Function) : Optional additional functions, or arrays of functions, that are called when the Deferred is rejected.</code></pre></section>	https://api.jquery.com/deferred.fail/
deferred.isRejected	R	deferred.isRejected()										
deferred.isRejected()	A			jQuery Deferred Object							<section class="prog__container"><p> Determine whether a Deferred object has been rejected. </p><pre><code>deferred.isRejected() → Boolean</code></pre></section>	https://api.jquery.com/deferred.isRejected/
deferred.isResolved	R	deferred.isResolved()										
deferred.isResolved()	A			jQuery Deferred Object							<section class="prog__container"><p> Determine whether a Deferred object has been resolved. </p><pre><code>deferred.isResolved() → Boolean</code></pre></section>	https://api.jquery.com/deferred.isResolved/
deferred.notify	R	deferred.notify()										
deferred.notify()	A			jQuery Deferred Object							<section class="prog__container"><p> Call the progressCallbacks on a Deferred object with the given args. </p><pre><code>deferred.notify(args) → Deferred</code></pre><p>Arguments</p><pre><code>args (Object) : Optional arguments that are passed to the progressCallbacks.</code></pre></section>	https://api.jquery.com/deferred.notify/
deferred.notifyWith	R	deferred.notifyWith()										
deferred.notifyWith()	A			jQuery Deferred Object							<section class="prog__container"><p> Call the progressCallbacks on a Deferred object with the given context and args. </p><pre><code>deferred.notifyWith(context,args) → Deferred</code></pre><p>Arguments</p><pre><code>context (Object) : Context passed to the progressCallbacks as the this object.\nargs (Array) : An optional array of arguments that are passed to the progressCallbacks.</code></pre></section>	https://api.jquery.com/deferred.notifyWith/
deferred.pipe	R	deferred.pipe()										
deferred.pipe()	A			jQuery Deferred Object							<section class="prog__container"><p> Utility method to filter and/or chain Deferreds.  </p><pre><code>deferred.pipe(doneFilter,failFilter) → Promise\ndeferred.pipe(doneFilter,failFilter,progressFilter) → Promise</code></pre><p>Arguments</p><pre><code>doneFilter (Function) : An optional function that is called when the Deferred is resolved.\nfailFilter (Function) : An optional function that is called when the Deferred is rejected.\nprogressFilter (Function) : An optional function that is called when progress notifications are sent to the Deferred.</code></pre></section>	https://api.jquery.com/deferred.pipe/
deferred.progress	R	deferred.progress()										
deferred.progress()	A			jQuery Deferred Object							<section class="prog__container"><p> Add handlers to be called when the Deferred object generates progress notifications.</p><pre><code>deferred.progress(progressCallbacks,progressCallbacks) → Deferred</code></pre><p>Arguments</p><pre><code>progressCallbacks (Function| Array) : A function, or array of functions, to be called when the Deferred generates progress notifications.\nprogressCallbacks (Function| Array) : Optional additional functions, or arrays of functions, to be called when the Deferred generates progress notifications.</code></pre></section>	https://api.jquery.com/deferred.progress/
deferred.promise	R	deferred.promise()										
deferred.promise()	A			jQuery Deferred Object							<section class="prog__container"><p> Return a Deferred's Promise object. </p><pre><code>deferred.promise(target) → Promise</code></pre><p>Arguments</p><pre><code>target (Object) : Object onto which the promise methods have to be attached</code></pre></section>	https://api.jquery.com/deferred.promise/
deferred.reject	R	deferred.reject()										
deferred.reject()	A			jQuery Deferred Object							<section class="prog__container"><p> Reject a Deferred object and call any failCallbacks with the given args. </p><pre><code>deferred.reject(args) → Deferred</code></pre><p>Arguments</p><pre><code>args (Anything) : Optional arguments that are passed to the failCallbacks.</code></pre></section>	https://api.jquery.com/deferred.reject/
deferred.rejectWith	R	deferred.rejectWith()										
deferred.rejectWith()	A			jQuery Deferred Object							<section class="prog__container"><p> Reject a Deferred object and call any failCallbacks with the given context and args. </p><pre><code>deferred.rejectWith(context,args) → Deferred</code></pre><p>Arguments</p><pre><code>context (Object) : Context passed to the failCallbacks as the this object.\nargs (Array) : An optional array of arguments that are passed to the failCallbacks.</code></pre></section>	https://api.jquery.com/deferred.rejectWith/
deferred.resolve	R	deferred.resolve()										
deferred.resolve()	A			jQuery Deferred Object							<section class="prog__container"><p> Resolve a Deferred object and call any doneCallbacks with the given args. </p><pre><code>deferred.resolve(args) → Deferred</code></pre><p>Arguments</p><pre><code>args (Anything) : Optional arguments that are passed to the doneCallbacks.</code></pre></section>	https://api.jquery.com/deferred.resolve/
deferred.resolveWith	R	deferred.resolveWith()										
deferred.resolveWith()	A			jQuery Deferred Object							<section class="prog__container"><p> Resolve a Deferred object and call any doneCallbacks with the given context and args. </p><pre><code>deferred.resolveWith(context,args) → Deferred</code></pre><p>Arguments</p><pre><code>context (Object) : Context passed to the doneCallbacks as the this object.\nargs (Array) : An optional array of arguments that are passed to the doneCallbacks.</code></pre></section>	https://api.jquery.com/deferred.resolveWith/
